SMILES,IC50_nM,pIC50,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
CCCC(=O)Nc1n[nH]c2cc(Cl)c(-c3ccccc3)cc12,400.0,6.3979400086720375,11.78489356765391,11.78489356765391,0.035082304526748986,-0.035082304526748986,0.737928189401346,10.818181818181818,313.788,297.6600000000001,313.098189812,112,0.22507547061241095,-0.3087021482771401,0.3087021482771401,0.22507547061241095,1.2727272727272727,2.0454545454545454,2.772727272727273,35.49569169089121,10.036655170191054,2.124632441546945,-2.0591531126505687,2.334626165751111,-2.105393521965945,6.3393630578560884,-0.11576624997196766,2.891814727975353,2.0496677394139784,811.3870439821332,15.526733258565956,12.189091805673527,12.945020751691981,10.685871848001627,7.216364289918535,7.594328762927763,5.114053503541368,5.521253630281974,3.4701621914300818,3.782871199918381,2.3938705712912003,2.6666429340861915,-2.3299999999999987,152074.75291476786,14.600750279659508,6.197119417244842,2.82787851442727,133.04184279578166,5.316788604006331,0.0,5.817862777835028,5.907179729351506,0.0,0.0,9.893218992372859,0.0,5.098681808301038,0.0,48.856512432231185,24.117007251546223,17.3704973290878,10.539334031357587,4.794537184071822,34.22890732950011,0.0,10.197363616602075,0.0,19.765380445542643,5.316788604006331,47.487202792972596,11.126902983393991,5.316788604006331,5.817862777835028,0.0,11.600939890232516,16.10454334595358,4.794537184071822,0.0,19.765380445542643,42.46456947923127,5.022633313741326,22.02982791547505,57.78,0.0,4.794537184071822,5.907179729351506,17.261317714502365,28.45064953840106,0.0,0.0,49.38830667892189,15.514152220608405,11.600939890232516,0.0,6.367342673916146,11.78489356765391,11.424811455446376,2.75006619005627,0.5087119446544053,13.69365518872328,1.2805235242840465,1.9677732330433448,0.0,0.17647058823529413,22,2,4,0,0,0,2,1,3,2,2,5,4,0,0,0,3,4.621900000000003,90.07740000000003
CCCC(=O)Nc1n[nH]c2c(F)c(Cl)c(-c3ccccc3)cc12,250.0,6.6020599913279625,14.527324814184933,14.527324814184933,0.026652520576131877,-0.5773053403460142,0.7237023552142278,10.91304347826087,331.778,316.65800000000013,331.088768,118,0.2250754815177724,-0.30870060396397553,0.30870060396397553,0.2250754815177724,1.3478260869565217,2.0869565217391304,2.782608695652174,35.495692093310424,10.031278014543936,2.1813896532359762,-2.0733294462839083,2.3627990426175227,-2.105829415848999,6.341599333571007,-0.11576689158277254,2.945707554815754,2.1272510316940765,861.1510252522443,16.396976746569035,12.489706009493126,13.245634955511582,11.113392202930193,7.327996257233522,7.70596073024275,5.211067643990666,5.589032116999894,3.560983200477911,3.9305029535290927,2.4388529032371284,2.69700743916643,-2.399999999999999,235126.37702539348,15.49396193907119,6.380383153298959,2.9197907048322564,137.2073781987079,5.316788604006331,5.516700717616262,11.635083618880923,5.907179729351506,0.0,0.0,9.893218992372859,4.39041504767482,5.098681808301038,0.0,48.856512432231185,18.050640183084614,17.3704973290878,5.022633313741326,9.184952231746642,34.22890732950011,0.0,10.197363616602075,0.0,19.765380445542643,5.316788604006331,47.23805656555688,11.126902983393991,5.316788604006331,10.208277825509848,0.0,11.600939890232516,16.10454334595358,4.794537184071822,5.817220841045895,19.765380445542643,36.39820241076966,5.022633313741326,22.02982791547505,57.78,5.817220841045895,9.184952231746642,16.446513760709095,23.18836010692283,11.984273114623004,0.0,6.06636706846161,37.255572541998674,15.514152220608405,11.600939890232516,14.527324814184933,6.161324155397628,11.776071288742344,9.820320714705636,1.5383995233896035,-0.4210858371126218,11.019476160630562,1.1107251651255683,1.9118884593807934,0.0,0.17647058823529413,23,2,4,0,0,0,2,1,3,2,2,6,4,0,0,0,3,4.761000000000003,90.03540000000001
Nc1nc(Nc2cccnc2)sc1C(=O)c1ccccc1F,5500.0,5.259637310505756,13.7097203206479,13.7097203206479,0.022427983539094365,-0.5814180022585502,0.7226049199118049,10.409090909090908,314.34499999999997,303.257,314.063760192,110,0.20928074491043178,-0.3823041753380832,0.3823041753380832,0.20928074491043178,1.2272727272727273,2.0454545454545454,2.772727272727273,32.13357757706621,10.101198139707556,2.2009379796257753,-2.0016930725716695,2.294353358937929,-2.0436949233685437,7.178363094365542,0.1034617967294563,2.8845236457558525,1.8956957530831633,819.4195867052456,15.526733258565956,11.285040667643504,12.10153724857123,10.647867045540842,6.375008386835419,7.191504967763145,4.4090534149964595,5.408124181759241,2.8908917106859846,3.876247816049488,1.8759290355836364,2.7350190506077894,-2.7999999999999994,151114.4247538576,14.150516197935207,5.903565633086268,2.793227890398752,129.20700326191692,11.050456081168516,16.512230812582224,5.131558479839333,5.783244946364939,0.0,0.0,9.77851570501903,9.374393568622029,0.0,0.0,23.469520014857956,24.26546827384644,6.196843571613076,17.447681337993632,9.184952231746642,33.7568383566576,0.0,9.967957041894417,0.0,0.0,11.050456081168516,65.04970908044001,0.0,11.050456081168516,21.027222580032742,0.0,11.336785877934737,15.751201988259357,0.0,5.817220841045895,15.235135869470117,48.791889553995816,0.0,0.0,80.9,11.600465787410833,9.184952231746642,16.258461463233324,5.131558479839333,17.0241721526183,18.19910120538483,24.52642128014937,6.06636706846161,15.284745645900749,5.733667477162185,13.7097203206479,1.0747713529856384,20.63634517502032,3.4542650069286975,6.484604959267658,-0.9869920343405185,9.35895615651117,3.2683290629791353,0.0,0.0,0.0,22,3,5,0,0,0,1,2,3,6,2,7,4,0,0,0,3,3.234000000000001,83.87860000000002
COc1cc(OC)c(C2C=C(c3cc(OC)ccc3OC)NC(=S)N2)c(OC)c1,2900.0,5.5376020021010435,5.6035262818524,5.6035262818524,0.30049697656840557,-0.30049697656840557,0.6667129794327717,15.551724137931034,416.4990000000001,392.30700000000013,416.140592868,154,0.17102991996588818,-0.49673968443654787,0.49673968443654787,0.17102991996588818,0.7586206896551724,1.3793103448275863,1.9310344827586208,32.092047370003904,9.985972577023938,2.2656038342172296,-2.287228111426658,2.407606920474924,-2.404459834599245,7.798230965659908,0.3651743989260418,2.764048787368473,2.143183324877442,919.6589636305529,20.965890847321376,16.990941627110562,17.80743820803829,14.036268360602431,8.858079470920515,9.266327761384378,6.168281609454152,6.5765298999180155,4.629102473122118,4.849015675935841,3.225941231478909,3.4628647797286263,-3.13,3437675.1173380436,20.60032451528954,8.914318602802979,4.167261672906649,175.10377293137236,34.317891977012906,28.747559166419524,5.112436884724758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.49299475526541,23.39322494167605,47.154280027232616,23.684314769000245,23.027349640827286,0.0,10.633577208012662,0.0,6.041840829147961,35.54898770638766,47.534758432535924,28.747559166419524,34.317891977012906,0.0,28.747559166419524,12.217873443046695,40.66142459111242,0.0,0.0,17.16874381254195,36.407855449141934,0.0,5.697039313055833,70.21000000000001,0.0,0.0,6.041840829147961,33.859996051144286,16.823942296449825,0.0,35.54898770638766,36.407855449141934,10.633577208012662,35.90218821204694,27.449017257563295,5.466771358234651,0.0,6.921658504451163,2.4172060027714797,3.2885314560346135,8.908120341175445,1.9999433106575963,0.0,8.048751769111755,0.2857142857142857,29,2,7,0,1,1,2,0,2,6,2,8,7,0,0,0,3,3.289500000000001,115.23140000000005
COc1ccc(C2C=C(c3cc(OC)c(OC)c(OC)c3)NC(=S)N2)cc1O,4400.0,5.356547323513812,10.096219898269826,10.096219898269826,0.06387682483461732,-0.23643741601578938,0.6365882651151067,15.785714285714286,402.47200000000004,380.2960000000001,402.124942804,148,0.2028010211306079,-0.5042469849856965,0.5042469849856965,0.2028010211306079,0.8928571428571429,1.5357142857142858,2.0714285714285716,32.09204730851818,10.004249695016656,2.218820884142567,-2.268044832285977,2.4011229404068613,-2.4011525868181063,7.798226960212846,0.32397463822297345,2.714694671874204,2.036314267833867,903.8023322761836,20.25878406613483,16.029906932146655,16.84640351307438,13.498263558141646,8.469313832974699,8.877562123438562,6.001775698447616,6.410023988911479,4.405886876177504,4.625800078991228,3.0346339730564362,3.271557521306154,-3.1300000000000003,2004978.4703327715,19.626609896801497,8.263340847292062,3.7693787648688737,168.41951933966482,34.68755641805356,0.0,28.110484217860378,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,6.06636706846161,48.12281331542401,11.260490804752829,34.48103099425809,24.0539792100409,23.027349640827286,0.0,10.633577208012662,0.0,6.041840829147961,28.439190165110134,47.534758432535924,28.747559166419524,29.581029023212857,0.0,28.747559166419524,12.217873443046695,38.658154444675596,0.0,0.0,17.16874381254195,36.407855449141934,0.0,5.697039313055833,81.21000000000001,0.0,5.106527394840706,11.791352662431866,28.110484217860378,16.823942296449825,7.109797541277533,33.46212676075582,24.27512131221871,10.633577208012662,31.16532525824689,21.356360225244323,5.374924519190392,0.0,16.894271175879634,2.4411909223565975,2.0794923123259386,8.679167590449607,1.9699792139077852,0.0,6.204614040645717,0.25,28,3,7,0,1,1,2,0,2,6,3,8,6,0,0,0,3,2.986500000000001,110.34420000000004
CN(C)c1ccc(/N=N/c2nc3ccc(OCCOCCOCCF)cc3s2)cc1,256.0,6.59176003468815,11.879535956207812,11.879535956207812,0.11012971643810365,-0.47606769115909153,0.2920990829738133,11.433333333333334,432.5210000000002,407.32100000000014,432.16313988,160,0.23056385516163666,-0.49114011178172323,0.49114011178172323,0.23056385516163666,0.9333333333333333,1.6666666666666667,2.4,32.133549146074174,10.257378085954263,2.052047449790473,-2.107834528151602,2.316617172534622,-2.1099991241526026,7.2147694888632525,0.03250803470785418,3.1641937034736736,1.500388927893914,947.0794004184069,21.18358750805833,17.08390458831118,17.900401169238908,14.652198343190413,9.594871607090601,10.411368188018328,6.498984457095822,7.508083379625311,4.055633384865566,4.958046877837687,2.5382596423787747,3.3539308783507304,-2.619999999999999,7682371.20621336,22.073918935513667,11.535809774773588,6.7199943444245465,178.66249262996644,19.110498592250625,19.030984770071733,0.0,5.131558479839333,0.0,0.0,0.0,9.374393568622029,0.0,10.228500251258795,11.336785877934737,42.46456947923127,19.782730240037942,42.331534766820596,18.60100390907497,38.05973754122655,0.0,4.9839785209472085,10.228500251258795,0.0,58.704254491044345,42.46456947923127,5.749511833283905,9.636772684650527,20.89674607688128,5.749511833283905,11.336785877934737,58.788323281141075,9.473725907600098,0.0,0.0,52.693069730490066,0.0,10.216620634085363,68.54,6.674590972274908,4.39041504767482,6.606881964512918,31.559086337891006,27.340905016736393,11.336785877934737,0.0,61.45982317543613,15.212478772206005,14.210588861400147,28.933856176152286,1.455494698928175,6.520518068039278,9.117620294502682,2.737489809581854,0.7418446916385438,13.543928730540122,0.0,1.2928569235646925,3.9897239403857045,0.38095238095238093,30,0,7,0,0,0,2,1,3,8,0,9,12,0,0,0,3,5.159200000000005,117.67300000000006
CN(C)c1ccc(/N=N/c2nc3ccc(I)cc3s2)cc1,0.48,9.318758762624412,4.461217561098513,4.461217561098513,0.6839686213991771,0.6839686213991771,0.4312642980410855,11.380952380952381,408.26800000000003,395.1640000000001,407.990565416,106,0.23056227137181287,-0.3776593998568203,0.3776593998568203,0.23056227137181287,1.0476190476190477,1.8095238095238095,2.5238095238095237,126.91270439265683,10.257386420397303,2.029189570295778,-2.10783385891099,2.3013696819122047,-2.0715386980797357,14.111917975594434,1.1278463823353666,2.871497556710806,1.8313695300442003,793.0437617762395,14.819626477379408,11.616519029800305,14.590513901904353,10.114193540729628,6.369092783476792,8.26433850999268,4.719311266510757,6.974042408227054,2.9563176392966075,4.529722235594819,1.847013654546288,3.3760068780898482,-1.5399999999999996,88040.11508875331,14.399479505858015,6.065412995483135,3.3812150909333307,140.22850697318353,4.899909730850478,0.0,0.0,5.131558479839333,0.0,0.0,0.0,4.9839785209472085,0.0,10.228500251258795,11.336785877934737,65.05544010629933,23.352912511103337,15.904006908768926,0.0,60.65060816829461,0.0,4.9839785209472085,10.228500251258795,0.0,18.99525369620486,46.034751750296664,0.0,4.899909730850478,16.506331029206457,0.0,33.927656505002794,19.07932248630159,0.0,3.5701822710653963,0.0,52.693069730490066,0.0,10.216620634085363,40.85,0.0,0.0,0.0,5.131558479839333,21.59139318345249,3.5701822710653963,11.336785877934737,50.49354637612404,48.769626198586145,0.0,2.338258065004929,3.8511104877079747,6.512889976521691,9.165354675820947,2.9400654450174115,0.0,14.11982506406399,0.0,0.0,4.025829619196391,0.13333333333333333,21,0,4,0,0,0,2,1,3,5,0,6,3,0,0,0,3,5.3823000000000025,97.28200000000001
CN(C)c1ccc(/C=C2\Nc3ccc(I)cc3C2=O)cc1,17.0,7.769551078621726,12.386134101788864,12.386134101788864,0.05574269547325117,0.05574269547325117,0.621571890216654,15.0,390.22400000000005,375.1040000000001,390.0229111,106,0.21082445893526017,-0.37766090982857525,0.37766090982857525,0.21082445893526017,1.0952380952380953,1.8095238095238095,2.4761904761904763,126.91270439080155,10.092211767852898,2.2384845924865946,-2.11475775527384,2.2998772428609,-2.0757169477808493,14.111917538062125,0.10378165394724002,2.7616739167951074,1.900667998878684,732.9553697236929,14.982763184195939,11.852228512490056,14.009726803666378,10.041713895658194,6.64789171643457,7.726640862022731,5.188001987927588,6.4336342071143955,3.460693882743499,4.131684986069588,2.2972583349611515,2.7884579140225467,-1.8199999999999994,76995.46880024759,14.13137590382717,5.519350523620633,2.8065851881397745,137.35082978672938,10.216698334856808,0.0,0.0,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,0.0,12.13273413692322,64.56217756790699,34.6037502774839,5.697039313055833,4.794537184071822,45.824908229634,0.0,0.0,0.0,0.0,24.31204230021119,62.85869404674649,0.0,10.216698334856808,11.374772549367124,0.0,22.590870627068057,19.87858891171932,0.0,3.5701822710653963,15.921440167465814,48.161608792287105,0.0,6.076020106833881,32.34,0.0,4.794537184071822,5.783244946364939,5.697039313055833,26.07185780382651,0.0,0.0,67.53584328227001,27.907659231074387,0.0,1.0676721337958712,2.2194767655199725,14.435422868093774,3.195127944696397,4.415641631146899,0.05574269547325117,13.984687322583353,1.8974584278155706,0.0,4.015436877541578,0.11764705882352941,21,1,3,0,1,1,2,0,2,3,1,4,2,0,0,0,3,4.006500000000003,95.85820000000002
CNc1ccc(/C=C2\Nc3ccc(I)cc3C2=O)cc1,112.0,6.950781977329818,12.32996126228269,12.32996126228269,0.0520454218106996,0.0520454218106996,0.6155357349497941,15.1,376.1970000000001,363.09300000000013,376.007261036,100,0.2108244589352476,-0.38812150062514683,0.38812150062514683,0.2108244589352476,1.15,1.9,2.6,126.91270438178093,10.093553950279913,2.238141514443831,-2.012997262810847,2.2988599455046894,-1.993327017161889,14.111917407646892,0.10378190913748245,2.764600521514337,1.9231210295076924,704.9168536775034,14.11251969619286,10.905014916990098,13.062513208166422,9.66903509559602,6.279857727684675,7.358606873272836,4.574051041775323,5.8196832609621305,3.25056670601067,3.921557809336759,2.1745803387111864,2.6657799177725816,-1.8199999999999994,54551.0974905209,13.176433486137155,5.282136487336524,2.428808069248069,130.77591618573743,10.633577208012662,0.0,0.0,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,0.0,12.13273413692322,64.56217756790699,27.556078294806703,5.697039313055833,4.794537184071822,45.824908229634,0.0,0.0,0.0,0.0,17.68124919068985,62.85869404674649,0.0,10.633577208012662,11.374772549367124,0.0,22.590870627068057,12.830916929042129,0.0,3.5701822710653963,15.921440167465814,48.161608792287105,0.0,6.076020106833881,41.129999999999995,0.0,4.794537184071822,5.783244946364939,5.697039313055833,26.07185780382651,0.0,0.0,55.58826156874234,33.22444783508072,0.0,1.0658547172057276,2.2152944841261526,12.32996126228269,6.254015656678446,4.306263166798196,0.0520454218106996,13.796943980067283,1.8835695389266818,0.0,1.8827184387707891,0.0625,20,2,3,0,1,1,2,0,2,3,2,4,2,0,0,0,3,3.9822000000000024,91.07790000000001
CN(C)c1ccc(C=C2C(=O)Nc3ccc(I)cc32)cc1,599.0,6.2225731776106885,12.131975938523558,12.131975938523558,0.038253600823044964,-0.038253600823044964,0.6243365305211155,15.0,390.224,375.10400000000004,390.02291110000004,106,0.2558866222039199,-0.3776609098723506,0.3776609098723506,0.2558866222039199,1.0952380952380953,1.8095238095238095,2.4761904761904763,126.91270439080152,10.038023005465009,2.234277764040361,-2.1148975137192885,2.3377029140913117,-2.0756472446271457,14.11191754457736,-0.11032554371603384,2.7554203521327545,2.0008919794074127,732.9553697236929,14.982763184195939,11.852228512490056,14.009726803666378,10.041713895658194,6.64789171643457,7.726640862022731,5.1880019879275885,6.433634207114396,3.485101650977953,4.156092754304042,2.3389250016278185,2.8301245806892137,-1.8199999999999994,76049.60171886403,14.13137590382717,5.519350523620633,2.8065851881397745,137.35082978672935,10.216698334856808,0.0,0.0,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,0.0,12.13273413692322,64.56217756790699,40.17685480755316,0.0,4.794537184071822,51.52194754268983,0.0,0.0,0.0,0.0,24.31204230021119,57.16165473369065,0.0,10.216698334856808,11.374772549367124,0.0,22.590870627068057,20.002523694705886,4.794537184071822,3.5701822710653963,11.126902983393991,42.46456947923127,0.0,11.64912463690315,32.34,0.0,4.794537184071822,5.907179729351506,0.0,31.644962333895776,0.0,0.0,50.50319941449631,44.940303098848084,0.0,1.121949730764666,2.2610349328161017,14.184417582511017,2.9057592435122195,4.751589009616193,-0.038253600823044964,14.139032554379776,1.9411574074074074,0.0,4.019979806482332,0.11764705882352941,21,1,3,0,1,1,2,0,2,2,1,4,2,0,0,0,3,3.8499000000000025,96.4287
