SMILES,IC50_nM
CN(C)c1ccc(/C=C2\C(=O)N(c3ccncc3)c3ccccc32)cc1,364.0
CCOC(=O)N1C(=O)/C(=C\c2ccc(N(C)C)cc2)c2ccccc21,1116.2
CN(C)c1ccc(/C=C2\C(=O)N(Cc3ccccc3)c3ncccc32)cc1,858.8
COc1ccc(CN2C(=O)/C(=C\c3ccc(N(C)C)cc3)c3cccnc32)cc1,853.5
CN(C)c1ccc(/C=C2\C(=O)N(c3ccccc3)c3ccccc32)cc1,789.8
O=C1Nc2ccccc2/C1=C/C=C/c1ccccc1,522.1
COc1ccc(/C=C/C=C2\C(=O)Nc3ccccc32)cc1,169.0
CN(C)c1ccc(/C=C/C=C2\C(=O)Nc3ccccc32)cc1,53.7
CN(C)c1ccc(/C=C/C=C2\C(=O)Nc3ncccc32)cc1,35.1
CN(C)c1ccc(/C=C/C=C2\C(=O)Nc3ccc(O)cc32)cc1,48.0
O=C1/C(=C\C=C\c2ccccc2)c2ccccc2N1Cc1ccccc1,682.4
COc1ccc(/C=C/C=C2\C(=O)N(Cc3ccccc3)c3ccccc32)cc1,717.6
CN(C)c1ccc(/C=C/C=C2\C(=O)N(C)c3ccccc32)cc1,229.1
CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccccc3)c3ccccc32)cc1,374.0
COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc(N(C)C)cc3)c3ccccc32)cc1,239.7
CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1,90.0
CN(C)c1ccc(/C=C/C=C2\C(=O)N(c3ccncc3)c3ccccc32)cc1,188.0
CCOC(=O)N1C(=O)/C(=C\C=C\c2ccc(N(C)C)cc2)c2ccccc21,263.2
CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccccc3)c3ncccc32)cc1,257.0
COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc(N(C)C)cc3)c3cccnc32)cc1,204.3
CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccc(N)cc3)c3ccccc32)cc1,131.1
CN(C)c1ccc(/C=C/C=C2\C(=O)N(c3ccccc3)c3ccccc32)cc1,465.1
Nc1ccc(/C=C/C=C2\C(=O)Nc3ccccc32)cc1,38.3
O=C1Nc2ccccc2/C1=C/c1ccc([N+](=O)[O-])cc1,362.5
O=C1Nc2ccccc2/C1=C\c1ccc([N+](=O)[O-])cc1,528.5
O=C1/C(=C\c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1,1756.7
O=C1/C(=C/c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1,1410.0
O=C1Nc2ccccc2/C1=C/C=C/c1ccc([N+](=O)[O-])cc1,27.1
O=C1Nc2ccccc2/C1=C\C=C\c1ccc([N+](=O)[O-])cc1,208.7
O=C1/C(=C\C=C\c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1,121.5
O=C1/C(=C/C=C/c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1,590.5
COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1,72.4
COc1ccc(CN2C(=O)/C(=C/C=C/c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1,318.1
COc1cccc(CN2C(=O)/C(=C\C=C\c3ccc([N+](=O)[O-])cc3)c3ccccc32)c1,228.6
COc1cccc(CN2C(=O)/C(=C/C=C/c3ccc([N+](=O)[O-])cc3)c3ccccc32)c1,354.6
COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1OC,151.7
COc1ccc(CN2C(=O)/C(=C/C=C/c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1OC,630.3
O=C1/C(=C\C=C\c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccc(OCCF)cc1,80.1
O=C1/C(=C/C=C/c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccc(OCCF)cc1,455.7
COc1ccc(O)c(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)c1,920.0
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2OC)ccc1O,580.0
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cc(O)ccc2OC)ccc1O,600.0
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2c(O)cccc2OC)ccc1O,910.0
COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1O,520.0
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cccc(O)c2OC)ccc1O,710.0
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cccc(OC)c2O)ccc1O,690.0
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,3000.0
COc1cc(O)cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)c1,320.0
COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)c(O)c1,1400.0
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc3c(c2)OCO3)ccc1O,1200.0
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc3ccccc3c2)ccc1O,420.0
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc3cc[nH]c3c2)ccc1O,440.0
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccccc2)ccc1O,1400.0
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccco2)ccc1O,2000.0
COc1cc(O)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,230.0
COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc3cc[nH]c3c2)c(OC)c1,700.0
COc1cc(OCC2CCCO2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,420.0
COc1cc(OCc2ccccc2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,610.0
COc1cc(OCc2ccccn2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,330.0
COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2ccc3cc[nH]c3c2)[nH]n1,660.0
Oc1ccc(Cc2cc(O)c(O)cc2O)cc1O,5200.0
Oc1ccc(-c2nc3cc(O)c(O)cc3o2)cc1O,7340.0
O=C(/C=C/c1cc(O)c(O)cc1Br)c1ccc(O)c(O)c1,9020.0
Cn1ccc2ccc(/C=C/c3cc(/C=C/c4ccc(OCc5ccccn5)cc4F)n[nH]3)cc21,600.0
Cn1ccc2ccc(/C=C/c3cc(/C=C/c4ccc(OCc5ccccn5)cc4)n[nH]3)cc21,650.0
Cn1cccc1/C=C/c1cc(/C=C/c2ccc(OCc3ccccn3)cc2F)n[nH]1,510.0
Cn1cccc1/C=C/c1cc(/C=C/c2ccc(OCc3ccccn3)cc2)n[nH]1,550.0
COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2cccn2C)[nH]n1,660.0
COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2ccc(C)n2C)[nH]n1,590.0
COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2cccc(C)n2)[nH]n1,840.0
Cc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2cccn2C)[nH]n1,640.0
COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2ccnn2C)[nH]n1,830.0
C(=C/c1cc(/C=C/c2ccc3cc[nH]c3c2)[nH]n1)\c1cccc(OCCN2CCOCC2)c1,840.0
Nc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1,36.0
CNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1,10.5
CCN(CC)c1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1,34.9
CCNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1,9.2
CN(C)c1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cn1,21.4
CNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cn1,40.1
Nc1ccc(-c2ccc3cc(OCCF)ccc3n2)cc1,59.3
CN(C)c1ccc2c(c1)SC1=CC(N(C)C)C=CC1N2.CS(=O)(=O)O.CS(=O)(=O)O,160.0
CCn1cc(CNCc2c[nH]nc2-c2ccc(-c3ccccc3)cc2)cn1,250.0
Fc1cc(-c2ccc3c(n2)[nH]c2ccncc23)ccn1,4.9
Fc1cc(-c2cc3[nH]c4ccncc4c3cn2)ccn1,82.0
Fc1cc(-c2cnc3c(c2)[nH]c2ccncc23)ccn1,116.0
Fc1ncccc1-c1ccc2c(n1)[nH]c1ccncc12,15.5
Fc1ncccc1-c1cc2[nH]c3ccncc3c2cn1,732.0
Fc1ncccc1-c1cnc2c(c1)[nH]c1ccncc12,344.0
Fc1cc(-c2ccc3c(n2)[nH]c2cccnc23)ccn1,260.0
Fc1cc(-c2cc3[nH]c4cnccc4c3cn2)ccn1,36.0
Fc1cc(-c2cnc3c(c2)[nH]c2ncccc23)ccn1,310.0
Fc1ncccc1-c1ccc2c(n1)[nH]c1cccnc12,559.0
Fc1ncccc1-c1ccc2c(n1)[nH]c1cnccc12,70.0
Fc1cc(-c2ccc3c(c2)[nH]c2ccncc23)ccn1,3.1
Fc1ncccc1-c1ccc2c(c1)[nH]c1ccncc12,3.5
Fc1cc(-c2nc3[nH]c4ccncc4c3s2)ccn1,18.0
COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)n(-c3ccc([N+](=O)[O-])cc3)n2)ccc1O,1200.0
COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)n(-c3cccc([N+](=O)[O-])c3)n2)ccc1O,5000.0
COc1ccc2[nH]c3c(c2c1)N=CN(CCCN(C)C1CCCCC1)C3,2100.0
CC1CN(c2ccncc2NC(=O)c2ccnn3cc(-c4ccccc4)nc23)CCO1,9.2
O=C(Nc1cccnc1)c1ccnn2cc(-c3ccccc3)nc12,660.0
Cc1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,1200.0
O=C(Nc1cnccc1C(F)(F)F)c1ccnc(NC(=O)C2CC2)c1,960.0
C=C(C)c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,80.0
CC(C)c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,470.0
O=C(Nc1cnccc1C1CCC1)c1ccnc(NC(=O)C2CC2)c1,380.0
O=C(Nc1cnccc1C1CCCC1)c1ccnc(NC(=O)C2CC2)c1,800.0
O=C(Nc1cnccc1C1CCCCC1)c1ccnc(NC(=O)C2CC2)c1,1200.0
CC(=O)c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,76.0
CC(O)c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,35.0
CC(C)(O)c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,2.8
O=C(Nc1cnccc1C(=O)C(F)(F)F)c1ccnc(NC(=O)C2CC2)c1,110.0
O=C(Nc1cnccc1C(O)C(F)(F)F)c1ccnc(NC(=O)C2CC2)c1,48.0
O=C(Nc1cnccc1N1CCOCC1)c1ccnc(NC(=O)C2CC2)c1,23.0
O=C(Nc1cnccc1N1CCCCC1)c1ccnc(NC(=O)C2CC2)c1,23.0
O=C(Nc1cnccc1N1CCC(F)(F)CC1)c1ccnc(NC(=O)C2CC2)c1,5.0
C[C@@H]1COCCN1c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,12.0
C[C@H]1COCCN1c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,2.0
C[C@@H]1CN(c2ccncc2NC(=O)c2ccnc(NC(=O)C3CC3)c2)CCO1,220.0
C[C@H]1CN(c2ccncc2NC(=O)c2ccnc(NC(=O)C3CC3)c2)CCO1,18.0
C[C@@H]1CN(c2ccncc2NC(=O)c2ccnc(NC(=O)C3CC3)c2)C[C@H](C)O1,190.0
CC1(C)CN(c2ccncc2NC(=O)c2ccnc(NC(=O)C3CC3)c2)CCO1,25.0
CC1(C)COCCN1c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,0.4
Cc1cncc(NC(=O)c2ccnc(NC(=O)C3CC3)c2)c1,25.0
O=C(Nc1cncc(C2CCC2)c1)c1ccnc(NC(=O)C2CC2)c1,330.0
O=C(Nc1cncc(-c2ccccc2)c1)c1ccnc(NC(=O)C2CC2)c1,300.0
